activity_id,activity_name,category,location,price,weather,popularity,duration,profile,season,compatibility_score,description
12629,Visite du jardin botanique de Berlin,nature,Berlin,37.62,Pluvieux,74,6,familial,printemps,95.09,"Visite du jardin botanique de Berlin — Une activité nature exceptionnelle à Berlin, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
37731,Détente sur la plage de Dubai,nature,Dubai,61.99,Tempéré,96,5,groupe,été,62.77,"Détente sur la plage de Dubai — Une activité nature exceptionnelle à Dubai, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
39992,Dîner-spectacle à Athens,entertainment,Athens,215.53,Tempéré,99,3,solo,été,93.2,"Dîner-spectacle à Athens — Une activité entertainment exceptionnelle à Athens, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
8526,Cours de cuisine locale à Cairo,gastronomy,Cairo,105.05,Pluvieux,58,2,couple,été,63.74,"Cours de cuisine locale à Cairo — Une activité gastronomy exceptionnelle à Cairo, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
8280,Concert international à Gabes,entertainment,Gabes,11.09,Chaud,71,2,groupe,printemps,85.14,"Concert international à Gabes — Une activité entertainment exceptionnelle à Gabes, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
51013,Randonnée dans les forêts autour de Seoul,nature,Seoul,163.2,Frais,76,6,couple,printemps,67.76,"Randonnée dans les forêts autour de Seoul — Une activité nature exceptionnelle à Seoul, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
14872,Dîner-spectacle à Istanbul,entertainment,Istanbul,195.11,Frais,70,2,familial,printemps,89.28,"Dîner-spectacle à Istanbul — Une activité entertainment exceptionnelle à Istanbul, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
15128,Randonnée dans les forêts autour de Mahdia,nature,Mahdia,49.23,Ensoleillé,44,1,familial,hiver,95.56,"Randonnée dans les forêts autour de Mahdia — Une activité nature exceptionnelle à Mahdia, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
9367,Dîner-spectacle à Istanbul,entertainment,Istanbul,194.77,Chaud,54,2,solo,hiver,63.95,"Dîner-spectacle à Istanbul — Une activité entertainment exceptionnelle à Istanbul, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
33323,Excursion en quad à Nabeul,adventure,Nabeul,280.56,Ensoleillé,40,1,groupe,été,81.81,"Excursion en quad à Nabeul — Une activité adventure exceptionnelle à Nabeul, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
53391,Sortie en bateau à Lisbon,entertainment,Lisbon,78.64,Tempéré,75,3,familial,hiver,82.32,"Sortie en bateau à Lisbon — Une activité entertainment exceptionnelle à Lisbon, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
21820,Atelier d’artisanat local à Cape Town,culture,Cape Town,288.88,Ensoleillé,45,2,familial,été,89.45,"Atelier d’artisanat local à Cape Town — Une activité culture exceptionnelle à Cape Town, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
5027,Tour gastronomique de Rio de Janeiro,gastronomy,Rio de Janeiro,210.57,Ensoleillé,89,6,groupe,été,63.68,"Tour gastronomique de Rio de Janeiro — Une activité gastronomy exceptionnelle à Rio de Janeiro, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
23429,Dîner étoilé au cœur de Rio de Janeiro,gastronomy,Rio de Janeiro,69.89,Ensoleillé,57,2,solo,printemps,80.11,"Dîner étoilé au cœur de Rio de Janeiro — Une activité gastronomy exceptionnelle à Rio de Janeiro, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
45298,Soirée musicale à Hammamet,entertainment,Hammamet,297.98,Pluvieux,60,3,groupe,hiver,67.33,"Soirée musicale à Hammamet — Une activité entertainment exceptionnelle à Hammamet, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
26355,Découverte du vieux centre historique de Cape Town,culture,Cape Town,237.36,Frais,40,1,familial,printemps,90.97,"Découverte du vieux centre historique de Cape Town — Une activité culture exceptionnelle à Cape Town, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
30196,Tour gastronomique de Lisbon,gastronomy,Lisbon,165.65,Frais,74,1,solo,hiver,60.34,"Tour gastronomique de Lisbon — Une activité gastronomy exceptionnelle à Lisbon, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
47039,Découverte du vieux centre historique de Prague,culture,Prague,16.26,Tempéré,72,3,groupe,été,75.01,"Découverte du vieux centre historique de Prague — Une activité culture exceptionnelle à Prague, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
20732,Concert international à Djerba,entertainment,Djerba,73.4,Tempéré,94,5,groupe,hiver,99.38,"Concert international à Djerba — Une activité entertainment exceptionnelle à Djerba, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
34048,Randonnée dans les montagnes de Berlin,adventure,Berlin,63.21,Ensoleillé,46,5,familial,hiver,89.11,"Randonnée dans les montagnes de Berlin — Une activité adventure exceptionnelle à Berlin, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
26065,Visite du jardin botanique de Bangkok,nature,Bangkok,214.39,Chaud,42,2,solo,automne,64.38,"Visite du jardin botanique de Bangkok — Une activité nature exceptionnelle à Bangkok, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
42470,Croisière écologique à Mexico City,nature,Mexico City,140.13,Tempéré,66,5,groupe,hiver,86.64,"Croisière écologique à Mexico City — Une activité nature exceptionnelle à Mexico City, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
29747,Balade dans la réserve naturelle de Sousse,nature,Sousse,249.72,Tempéré,89,6,familial,automne,98.18,"Balade dans la réserve naturelle de Sousse — Une activité nature exceptionnelle à Sousse, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
14523,Visite du jardin botanique de Gabes,nature,Gabes,57.29,Pluvieux,83,3,groupe,hiver,68.61,"Visite du jardin botanique de Gabes — Une activité nature exceptionnelle à Gabes, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
31573,Soirée musicale à Rio de Janeiro,entertainment,Rio de Janeiro,84.11,Tempéré,78,2,groupe,automne,91.16,"Soirée musicale à Rio de Janeiro — Une activité entertainment exceptionnelle à Rio de Janeiro, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
54950,Randonnée dans les forêts autour de Prague,nature,Prague,97.7,Pluvieux,73,5,couple,printemps,62.06,"Randonnée dans les forêts autour de Prague — Une activité nature exceptionnelle à Prague, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
19369,Croisière écologique à Berlin,nature,Berlin,232.16,Frais,45,2,familial,été,87.43,"Croisière écologique à Berlin — Une activité nature exceptionnelle à Berlin, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
3804,Safari d’aventure près de Athens,adventure,Athens,184.63,Ensoleillé,86,3,familial,hiver,74.02,"Safari d’aventure près de Athens — Une activité adventure exceptionnelle à Athens, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
53326,Randonnée dans les montagnes de Tunis,adventure,Tunis,115.86,Ensoleillé,42,5,solo,automne,64.15,"Randonnée dans les montagnes de Tunis — Une activité adventure exceptionnelle à Tunis, idéale pour les voyageurs en quête d'expériences uniques et authentiques."
