index,Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,__content_text,Category_enc,Country_enc,Cost of Living_enc,Safety_enc
0,Rome,Lazio,Italy,City,41.902782,12.496366,14 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.","Rome Lazio Italy City A hub of ancient history and modern culture, with rich traditions, art, and landmarks. The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon. Pizza, Pasta, Gelato Generally safe, but watch out for pickpockets Spring (April-May) or Fall (Sept-Oct)",6,9,6,13
1,Florence,Tuscany,Italy,City,43.769581,11.255772,10 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo?s David.","Florence Tuscany Italy City Home to world-class museums, including the Uffizi Gallery and Michelangelo?s David. A Renaissance city famous for its art, architecture, and historical significance. Pizza, Pasta, Gelato Generally safe, but watch out for pickpockets Spring (April-May) or Fall (Sept-Oct)",6,9,6,13
2,Venice,Veneto,Italy,City,45.435559,12.336196,10 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.","Venice Veneto Italy City An iconic city of water, renowned for romantic gondola rides and historic landmarks. A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace. Pizza, Pasta, Gelato Generally safe, but watch out for pickpockets Spring (April-May) or Fall (Sept-Oct)",6,9,6,13
3,Milan,Lombardy,Italy,City,45.464643,9.18854,7 million,Euro,Roman Catholic,"Risotto, Ossobuco, Panettone",Italian,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","A fashion capital known for its shopping, museums, and historical landmarks.","A modern city with an ancient soul, featuring La Scala and the Duomo di Milano.","Milan Lombardy Italy City A modern city with an ancient soul, featuring La Scala and the Duomo di Milano. A fashion capital known for its shopping, museums, and historical landmarks. Risotto, Ossobuco, Panettone Generally safe, but watch out for pickpockets Spring (April-May) or Fall (Sept-Oct)",6,9,2,13
4,Naples,Campania,Italy,City,40.85133,14.25472,5 million,Euro,Roman Catholic,"Pizza, Pasta, Cannoli",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A vibrant city known for its delicious food, historical sites, and stunning coastline.","Famous for pizza, Pompeii, and proximity to the Amalfi Coast.","Naples Campania Italy City Famous for pizza, Pompeii, and proximity to the Amalfi Coast. A vibrant city known for its delicious food, historical sites, and stunning coastline. Pizza, Pasta, Cannoli Generally safe, but be aware of pickpockets Spring (April-May) or Fall (Sept-Oct)",6,9,5,10
5,Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3 million,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,"Cinque Terre Liguria Italy Coastal Town Scenic coastal towns connected by breathtaking hiking trails and beaches. A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking. Seafood, Pesto Generally safe, but be aware of crowds Spring (April-May) or Fall (Sept-Oct)",10,9,6,8
6,Amalfi Coast,Campania,Italy,Coastal Region,40.652843,14.495831,2 million,Euro,Roman Catholic,"Seafood, Limoncello",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A picturesque coastline with charming towns, stunning cliffs, and beautiful beaches.","Famous for its steep cliffs, coastal towns, and lemon groves, offering breathtaking views of the Mediterranean.","Amalfi Coast Campania Italy Coastal Region Famous for its steep cliffs, coastal towns, and lemon groves, offering breathtaking views of the Mediterranean. A picturesque coastline with charming towns, stunning cliffs, and beautiful beaches. Seafood, Limoncello Generally safe, but be aware of crowds Spring (April-May) or Fall (Sept-Oct)",9,9,6,8
7,Pisa,Tuscany,Italy,City,43.715899,10.996557,1.5 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Famous for its Leaning Tower, but also offers other historical attractions and beautiful scenery.","Known for the iconic Leaning Tower of Pisa, as well as its Romanesque architecture.","Pisa Tuscany Italy City Known for the iconic Leaning Tower of Pisa, as well as its Romanesque architecture. Famous for its Leaning Tower, but also offers other historical attractions and beautiful scenery. Pizza, Pasta, Gelato Generally safe Spring (April-May) or Fall (Sept-Oct)",6,9,5,0
8,Lake Como,Lombardy,Italy,Lake,45.831894,9.237083,1 million,Euro,Roman Catholic,"Seafood, Pasta",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A beautiful lake surrounded by mountains, popular for boating, hiking, and relaxing.","A luxury retreat for the elite, featuring serene waters and mountain landscapes.","Lake Como Lombardy Italy Lake A luxury retreat for the elite, featuring serene waters and mountain landscapes. A beautiful lake surrounded by mountains, popular for boating, hiking, and relaxing. Seafood, Pasta Generally safe Spring (April-May) or Fall (Sept-Oct)",22,9,6,0
9,Verona,Veneto,Italy,City,45.439559,10.996557,1 million,Euro,Roman Catholic,"Pizza, Pasta, Risotto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A romantic city known for its Shakespearean connection, Arena di Verona, and beautiful architecture.","Famous for being the setting of ""Romeo and Juliet"" and its well-preserved Roman amphitheater.","Verona Veneto Italy City Famous for being the setting of ""Romeo and Juliet"" and its well-preserved Roman amphitheater. A romantic city known for its Shakespearean connection, Arena di Verona, and beautiful architecture. Pizza, Pasta, Risotto Generally safe Spring (April-May) or Fall (Sept-Oct)",6,9,5,0
